filename,site,day,month,year,hour,MS,FS,MNC,ONC,NCcomb
RRam-2019-02-17_07-00.flac,2019 Rush Ranch AM,17,2,19,7:00:00,TN,TN,TN,TN,TN
RRam-2019-02-16_14-00.flac,2019 Rush Ranch AM,16,2,19,14:00:00,FP,TN,TN,TN,TN
RRam-2019-02-16_13-00.flac,2019 Rush Ranch AM,16,2,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-03-07_09-00.flac,2019 Rush Ranch AM,7,3,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-03-06_18-00.flac,2019 Rush Ranch AM,6,3,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-03-06_17-00.flac,2019 Rush Ranch AM,6,3,19,17:00:00,FP,TN,TN,TN,TN
RRam-2019-03-06_16-00.flac,2019 Rush Ranch AM,6,3,19,16:00:00,TN,TN,TN,TN,TN
RRam-2019-03-06_10-00.flac,2019 Rush Ranch AM,6,3,19,10:00:00,FP,TN,TN,TN,TN
RRam-2019-03-01_13-00.flac,2019 Rush Ranch AM,1,3,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-03-08_12-00.flac,2019 Rush Ranch AM,8,3,19,12:00:00,FP,TN,TN,TN,TN
RRam-2019-03-01_12-00.flac,2019 Rush Ranch AM,1,3,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_12-00.flac,2019 Rush Ranch AM,28,2,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_13-00.flac,2019 Rush Ranch AM,28,2,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-02-28_11-00.flac,2019 Rush Ranch AM,28,2,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-02-27_19-00.flac,2019 Rush Ranch AM,27,2,19,19:00:00,FP,TN,TN,TN,TN
RRam-2019-02-26_12-00.flac,2019 Rush Ranch AM,26,2,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-02-26_10-00.flac,2019 Rush Ranch AM,26,2,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-02-26_11-00.flac,2019 Rush Ranch AM,26,2,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_18-00.flac,2019 Rush Ranch AM,25,2,19,18:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_17-00.flac,2019 Rush Ranch AM,25,2,19,17:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_11-00.flac,2019 Rush Ranch AM,25,2,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-02-25_10-00.flac,2019 Rush Ranch AM,25,2,19,10:00:00,TN,TN,TN,TN,TN
RRam-2019-02-25_09-00.flac,2019 Rush Ranch AM,25,2,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-02-24_17-00.flac,2019 Rush Ranch AM,24,2,19,17:00:00,TN,TN,TN,TN,TN
RRam-2019-02-24_18-00.flac,2019 Rush Ranch AM,24,2,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-02-24_19-00.flac,2019 Rush Ranch AM,24,2,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-02-23_10-00.flac,2019 Rush Ranch AM,23,2,19,10:00:00,FP,FP,TN,TN,TN
RRam-2019-02-23_08-00.flac,2019 Rush Ranch AM,23,2,19,8:00:00,TP,TN,TN,TN,TN
RRam-2019-02-23_09-00.flac,2019 Rush Ranch AM,23,2,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-02-23_07-00.flac,2019 Rush Ranch AM,23,2,19,7:00:00,TP,TN,TN,TN,TN
RRam-2019-02-22_16-00.flac,2019 Rush Ranch AM,22,2,19,16:00:00,FP,TN,TN,TN,TN
RRam-2019-02-22_17-00.flac,2019 Rush Ranch AM,22,2,19,17:00:00,TP,TN,TN,TN,TN
RRam-2019-02-22_15-00.flac,2019 Rush Ranch AM,22,2,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_07-00.flac,2019 Rush Ranch AM,22,2,19,7:00:00,TP,TN,TN,TN,TN
RRam-2019-02-22_09-00.flac,2019 Rush Ranch AM,22,2,19,9:00:00,TN,TN,TN,TN,TN
RRam-2019-02-22_08-00.flac,2019 Rush Ranch AM,22,2,19,8:00:00,FP,TN,TN,TN,TN
RRam-2019-02-16_11-00.flac,2019 Rush Ranch AM,16,2,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-02-16_12-00.flac,2019 Rush Ranch AM,16,2,19,12:00:00,FP,TN,TN,TN,TN
RRam-2019-03-01_18-00.flac,2019 Rush Ranch AM,1,3,19,18:00:00,TN,TN,TN,TN,TN
RRam-2019-03-01_19-00.flac,2019 Rush Ranch AM,1,3,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-03-01_17-00.flac,2019 Rush Ranch AM,1,3,19,17:00:00,TP,TN,TN,TN,TN
RRam-2019-03-01_15-00.flac,2019 Rush Ranch AM,1,3,19,15:00:00,TN,TN,TN,TN,TN
RRam-2019-03-01_14-00.flac,2019 Rush Ranch AM,1,3,19,14:00:00,TP,TN,TN,TN,TN
RRam-2019-03-01_16-00.flac,2019 Rush Ranch AM,1,3,19,16:00:00,TN,TN,TN,TN,TN
RRam-2019-02-28_07-00.flac,2019 Rush Ranch AM,28,2,19,7:00:00,TP,TN,TN,TN,TN
RRam-2019-03-08_11-00.flac,2019 Rush Ranch AM,8,3,19,11:00:00,TN,TN,TN,TN,TN
RRam-2019-02-27_13-00.flac,2019 Rush Ranch AM,27,2,19,13:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_12-00.flac,2019 Rush Ranch AM,27,2,19,12:00:00,TN,TN,TN,TN,TN
RRam-2019-02-27_11-00.flac,2019 Rush Ranch AM,27,2,19,11:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_10-00.flac,2019 Rush Ranch AM,27,2,19,10:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_09-00.flac,2019 Rush Ranch AM,27,2,19,9:00:00,FP,TN,TN,TN,TN
RRam-2019-02-27_08-00.flac,2019 Rush Ranch AM,27,2,19,8:00:00,TN,TN,TN,TN,TN
RRam-2019-02-26_17-00.flac,2019 Rush Ranch AM,26,2,19,17:00:00,FP,TN,TN,TN,TN
RRam-2019-02-26_19-00.flac,2019 Rush Ranch AM,26,2,19,19:00:00,TN,TN,TN,TN,TN
RRam-2019-02-27_07-00.flac,2019 Rush Ranch AM,27,2,19,7:00:00,FP,TN,TN,TN,TN
